latitude,longitude,magnitude,time,posix data
45.932,-129.9822,1.5491,7/3/94 20:37,773267876.9
45.9428,-129.9834,0.953,7/3/94 23:06,773276811.8
45.9478,-130.0198,1.8304,7/4/94 2:59,773290787.5
45.9486,-130.0214,1.3946,7/4/94 7:55,773308507.8
45.9382,-129.9886,3.6652,7/4/94 13:35,773328934
45.9371,-130.0169,2.1872,7/4/94 14:48,773333291.2
45.9508,-129.9862,0.5745,7/5/94 9:43,773401429.4
45.9379,-129.9899,0.0012,7/5/94 10:39,773404751.4
45.9465,-129.9888,0.8773,7/5/94 10:48,773405286.3
45.9486,-129.9878,1.1281,7/5/94 10:49,773405374.6
45.9524,-129.993,1.6885,7/5/94 10:50,773405410.1
45.9404,-130.013,0.6049,7/5/94 14:17,773417826.2
45.9449,-130.017,1.5991,7/5/94 19:24,773436272.9
45.9334,-130.0137,1.4859,7/5/94 23:18,773450308.7
45.9444,-129.9826,0.5228,7/7/94 2:02,773546563.2
45.9312,-129.9971,0.4372,7/7/94 4:56,773557005.8
45.9365,-129.998,0.0008,7/7/94 4:59,773557181.3
45.922,-129.9856,0.5919,7/7/94 5:03,773557438.4
45.9274,-130.0081,1.3542,7/7/94 5:09,773557753.6
45.9483,-130.0125,1.8693,7/7/94 5:10,773557839.6
45.9525,-130.0194,1.0789,7/7/94 13:12,773586777
45.9456,-129.9873,0.375,7/7/94 14:28,773591311.5
45.9303,-130.0135,1.4098,7/7/94 15:08,773593683.8
45.9434,-129.9862,0.406,7/7/94 15:49,773596162.2
45.9461,-129.9836,0.7718,7/7/94 16:09,773597387.5
45.9463,-130.0197,0.7257,7/7/94 23:15,773622922.4
45.9447,-130.0215,0.6445,7/8/94 3:51,773639490.6
45.9263,-130.0186,4.0645,7/8/94 11:05,773665528.4
45.9468,-130.0233,1.4018,7/8/94 21:20,773702421.9
45.9584,-129.9967,0.7535,7/9/94 15:23,773767413.7
45.9495,-129.9858,1.1169,7/9/94 15:34,773768044.9
45.9484,-129.9821,1.0569,7/9/94 15:35,773768142.3
45.9492,-129.9854,1.521,7/9/94 15:36,773768159.9
45.9481,-129.982,1.0453,7/9/94 15:40,773768421.2
46.0031,-129.9945,1.0954,7/10/94 10:07,773834863.9
45.9397,-130.0147,0.7876,7/10/94 12:09,773842173.2
45.9984,-129.9866,2.5405,7/10/94 13:08,773845720
46.0009,-130.0008,3.909,7/10/94 13:32,773847155.7
45.9484,-129.9861,1.0428,7/10/94 15:01,773852484.3
45.9469,-129.9881,0.673,7/10/94 16:01,773856110.5
45.9494,-129.9866,1.4482,7/10/94 16:14,773856853.9
45.9472,-129.985,1.0767,7/10/94 17:14,773860471.5
45.9462,-129.988,0.8772,7/10/94 17:39,773861984.4
45.9458,-129.9888,0.7065,7/10/94 17:41,773862082.5
45.9473,-129.9863,0.9543,7/10/94 17:43,773862208.7
45.9468,-129.9871,1.0393,7/10/94 17:44,773862241.9
45.947,-129.9832,1.0412,7/10/94 17:53,773862785.1
45.9555,-130.0222,2.2021,7/10/94 18:08,773863699.3
45.9472,-130.0273,2.1582,7/10/94 18:09,773863774.7
45.9519,-129.9893,2.0252,7/10/94 18:09,773863789.9
45.9487,-129.9854,1.0983,7/10/94 18:10,773863802.2
45.9671,-130.0435,1.4267,7/10/94 18:10,773863848.6
45.9538,-130.0067,1.5217,7/10/94 18:11,773863910
45.9695,-130.0612,1.325,7/10/94 18:12,773863943.6
45.9473,-129.9848,0.9889,7/10/94 18:14,773864041.6
45.9492,-129.9849,1.6247,7/10/94 18:14,773864053.2
45.9458,-129.9824,0.9528,7/10/94 18:15,773864145.6
45.9481,-129.9845,0.923,7/10/94 18:18,773864315.5
45.9474,-129.9836,0.9124,7/10/94 18:18,773864337.2
45.9563,-129.9894,1.8202,7/10/94 18:19,773864363.5
45.9502,-129.9843,1.6288,7/10/94 18:19,773864385.2
45.9553,-129.9852,1.6595,7/10/94 18:20,773864402.8
45.948,-129.9836,0.5628,7/10/94 18:20,773864423.7
45.9482,-129.9849,1.1275,7/10/94 18:20,773864434.1
45.945,-129.9994,1.1653,7/10/94 18:20,773864452.2
45.9618,-130.0048,1.7056,7/10/94 18:20,773864458.2
45.9587,-129.9901,1.7949,7/10/94 18:24,773864689.7
45.954,-129.9864,1.6681,7/10/94 18:25,773864725.1
45.9453,-129.9831,0.6041,7/10/94 18:30,773865035.7
45.9467,-129.982,0.3964,7/10/94 18:31,773865110.7
45.9474,-129.9859,1.0557,7/10/94 18:37,773865446.8
45.9452,-130.0064,0.4643,7/10/94 18:49,773866163.7
45.9476,-129.9809,0.5834,7/10/94 18:55,773866519
45.9454,-129.9884,0.6503,7/10/94 18:59,773866773.7
45.9585,-129.9877,0.995,7/10/94 19:51,773869879.2
45.9444,-130.0172,0.2755,7/10/94 23:04,773881466.2
45.9483,-130.0228,0.2648,7/11/94 2:36,773894198.9
45.9583,-130.0329,3.316,7/11/94 2:48,773894929.8
45.9309,-129.984,0.9871,7/11/94 6:02,773906526.2
45.9456,-129.9835,0.6905,7/11/94 15:03,773938980.1
45.9447,-129.986,0.4726,7/11/94 15:47,773941643.8
45.9252,-129.9733,1.2186,7/11/94 20:02,773956941.3
45.9441,-130.0147,1.8063,7/12/94 1:23,773976210.9
45.9581,-129.9876,3.8992,7/12/94 1:28,773976517.1
45.9453,-130.0206,1.3977,7/12/94 1:39,773977194.4
45.9418,-129.9987,1.8464,7/12/94 1:40,773977218.5
45.942,-130.0139,1.4022,7/12/94 1:42,773977329.1
45.9499,-130.0056,2.2994,7/12/94 1:46,773977612.3
45.9476,-130.005,4.6668,7/12/94 2:00,773978399.8
45.9382,-130.0196,0.7611,7/12/94 2:23,773979800.7
45.9468,-130.0078,0.6713,7/12/94 15:23,774026633.9
45.9603,-129.9927,1.4358,7/12/94 15:44,774027882.6
45.9491,-129.9968,2.4364,7/12/94 19:18,774040689.2
45.9507,-130.0159,1.3638,7/12/94 20:31,774045091.4
45.9319,-129.9843,1.3352,7/12/94 23:12,774054774.8
45.954,-130.0101,1.3877,7/13/94 2:02,774064947.6
45.9297,-130.0018,2.5436,7/13/94 5:48,774078499
45.9478,-130.0249,1.3881,7/13/94 6:55,774082551.3
45.9247,-129.9811,1.2528,7/13/94 8:11,774087114.9
45.9498,-129.997,0,7/13/94 14:40,774110458.2
45.95,-129.9867,0.11,7/13/94 14:46,774110789
45.9499,-129.9888,2.7767,7/13/94 18:11,774123074.1
45.9585,-129.9794,2.2883,7/13/94 18:42,774124955.9
45.9595,-129.981,1.376,7/13/94 18:51,774125487.7
45.9461,-129.9817,0.6823,7/13/94 20:24,774131080.6
45.9525,-129.9948,2.0953,7/14/94 3:48,774157732.6
45.9419,-130.0134,1.6136,7/14/94 6:53,774168830.6
45.9089,-129.9796,1.7825,7/15/94 4:33,774246802.7
45.9483,-129.9932,1.3085,7/15/94 20:05,774302746.8
45.9539,-130.0054,1.8618,7/15/94 22:17,774310623.3
45.949,-130.0202,2.7262,7/16/94 6:02,774338563.5
45.9433,-130.001,1.8669,7/16/94 16:24,774375846.9
45.9473,-129.9816,0.9768,7/17/94 7:09,774428986
45.9457,-129.9838,0.0782,7/17/94 7:12,774429128.1
45.9443,-129.9851,0.0635,7/17/94 7:13,774429224.6
45.9458,-129.9846,0.7243,7/17/94 7:14,774429257.4
45.9459,-129.9818,1.0491,7/17/94 7:15,774429356.1
45.9415,-129.9872,1.8617,7/17/94 7:16,774429367
45.9439,-129.9877,1.9532,7/17/94 7:18,774429514.4
