SA3,Tot_P_M,Tot_P_F,Tot_P_P
30504,26221,27321,53542
30601,23161,24058,47219
30602,47083,47648,94731
30603,17231,16233,33464
30604,5532,5255,10787
30605,18868,19367,38235
30701,22326,21085,43411
30702,20471,19892,40363
30703,18884,19616,38500
30801,15840,13822,29662
30802,37572,34771,72343
30803,54750,54586,109336
30901,28167,29753,57920
30902,24473,25626,50099
30903,28569,31036,59605
30904,8470,8665,17135
30905,15161,15915,31076
30906,30638,32035,62673
30907,46565,47492,94057
30908,21494,23697,45191
30909,26555,27993,54548
30910,17940,17388,35328
31001,31954,31619,63573
31002,28900,28049,56949
31003,46844,48067,94911
31004,33056,33304,66360
31101,6076,6304,12380
31102,18618,19140,37758
31103,36146,36566,72712
31104,18940,18403,37343
31105,26922,27960,54882
31106,37354,38001,75355
31201,19390,16090,35480
31202,58237,54561,112798
31203,9703,8830,18533
31301,14826,15708,30534
31302,28886,30166,59052
31303,5942,5349,11291
31304,28854,29736,58590
31305,26972,29018,55990
31401,40050,40463,80513
31402,25116,26454,51570
31403,17482,17870,35352
31501,15963,13917,29880
31502,17771,15361,33132
31503,10104,9808,19912
31601,21644,24096,45740
31602,33743,36297,70040
31603,24746,26339,51085
31604,28531,29330,57861
31605,17242,18654,35896
31606,22742,23556,46298
31701,67840,72381,140221
31801,21905,21466,43371
31802,87143,87386,174529
31901,41597,43142,84739
31902,23790,23682,47472
31903,22698,22990,45688
31904,25324,27514,52838
31905,21370,21152,42522
39797,0,0,0
39999,0,0,0
40101,10148,9492,19640
40102,33657,34400,68057
40103,19921,22272,42193
40104,23379,25122,48501
40105,16719,18168,34887
40106,13297,13656,26953
40107,17333,19507,36840
40201,15478,16162,31640
40202,39625,40245,79870
40203,30551,30385,60936
40204,63511,64151,127662
40205,44872,46666,91538
40301,15723,17345,33068
40302,40654,43671,84325
40303,29803,31854,61657
40304,79036,81782,160818
40401,50021,52209,102230
40402,28015,28586,56601
40403,28268,29555,57823
40501,16619,16580,33199
40502,11104,10950,22054
40503,13573,13690,27263
40504,12002,11996,23998
40601,28511,27885,56396
40602,15147,13075,28222
40701,22542,23808,46350
40702,31644,31433,63077
40703,34281,33417,67698
49797,0,0,0
49999,0,0,0
50101,20644,21402,42046
50102,47408,46978,94386
50103,10900,10772,21672
50201,40871,42423,83294
50301,30981,33153,64134
50302,46750,45467,92217
50401,38236,38105,76341
50402,20733,19680,40413
50403,51336,51802,103138
50501,75375,77046,152421
50502,87635,90795,178430
50503,75236,76867,152103
50601,31044,31253,62297
50602,32599,31205,63804
50603,44141,44622,88763
50604,53754,52831,106585
50605,26533,27030,53563
50606,9051,8754,17805
50607,19942,20866,40808
50701,43553,43860,87413
50702,16417,17210,33627
50703,14872,14355,29227
50704,47387,50983,98370
50705,51853,52252,104105
50801,7919,7689,15608
50802,4845,4446,9291
50803,22549,19263,41812
50804,18510,16284,34794
50805,27644,26013,53657
50806,36882,23012,59894
50901,27569,27788,55357
50902,27478,25893,53371
50903,10859,9852,20711
59797,0,0,0
59999,0,0,0
60101,7763,8250,16013
60102,24223,25420,49643
60103,24751,26500,51251
60104,14981,16112,31093
60105,23827,24977,48804
60106,7339,7510,14849
60201,38090,40956,79046
60202,10819,11186,22005
60203,18363,18149,36512
60301,5900,5439,11339
60302,9091,8850,17941
60303,3322,3196,6518
60401,23154,24814,47968
60402,21088,22136,43224
60403,9269,8687,17956
69797,0,0,0
69999,0,0,0
70101,12271,10500,22771
70102,26610,24964,51574
70103,10127,8493,18620
70104,13887,13731,27618
70201,18245,17821,36066
70202,2876,2846,5722
70203,8226,7525,15751
70204,7206,6814,14020
70205,8962,8861,17823
79797,0,0,0
79999,0,0,0
80101,45670,46774,92444
80102,295,254,549
80103,1009,494,1503
80104,23346,23957,47303
80105,24311,23719,48030
80106,11812,12342,24154
80107,42802,44098,86900
80108,11100,11646,22746
80109,16070,16888,32958
89797,0,0,0
89999,0,0,0
90101,1465,607,2072
90102,284,266,550
90103,212,166,378
99797,0,0,0
99999,0,0,0
