SA3,Tot_P_M,Tot_P_F,Tot_P_P
10101,33658,33841,67499
10102,26852,26660,53512
10103,9737,9193,18930
10104,33368,34513,67881
10201,78677,84434,163111
10202,72026,77051,149077
10301,21985,21569,43554
10302,27254,27541,54795
10303,22299,21620,43919
10304,26788,27682,54470
10401,24276,24962,49238
10402,39513,41849,81362
10501,13064,12229,25293
10502,10454,10749,21203
10503,32992,34106,67098
10601,41157,40830,81987
10602,31454,32753,64207
10603,33256,34247,67503
10604,15031,14516,29547
10701,35457,36461,71918
10702,6,6,12
10703,40920,42612,83532
10704,59798,60726,120524
10801,14566,15282,29848
10802,23227,23601,46828
10803,175,185,360
10804,34944,37767,72711
10805,25054,26305,51359
10901,27926,29512,57438
10902,6402,6022,12424
10903,20221,20236,40457
11001,17401,18544,35945
11002,18695,19066,37761
11003,13011,12676,25687
11004,37798,39007,76805
11101,56951,59917,116868
11102,34288,35717,70005
11103,76686,79051,155737
11201,35526,37702,73228
11202,34052,35234,69286
11203,41012,44093,85105
11301,23395,23199,46594
11302,7331,6996,14327
11303,44144,45050,89194
11401,45609,47012,92621
11402,21271,23115,44386
11501,65453,68369,133822
11502,12560,12776,25336
11503,12232,11842,24074
11504,13771,13410,27181
11601,61989,63033,125022
11602,37656,37121,74777
11603,51099,52629,103728
11701,19492,19865,39357
11702,25275,25338,50613
11703,92089,82483,174572
11801,58239,62318,120557
11802,63368,65622,128990
11901,78234,80838,159072
11902,63067,62359,125426
11903,56553,60050,116603
11904,60465,62035,122500
12001,35938,38218,74156
12002,24726,27471,52197
12003,67285,69922,137207
12101,48381,51817,100198
12102,37550,38986,76536
12103,52396,57182,109578
12104,41791,46564,88355
12201,19408,20339,39747
12202,27912,29243,57155
12203,69112,71629,140741
12301,25477,26756,52233
12302,71984,75180,147164
12303,18187,18215,36402
12401,36573,39124,75697
12402,3,6,9
12403,61179,63494,124673
12404,17715,18035,35750
12405,25872,26193,52065
12501,38568,35853,74421
12502,29380,30217,59597
12503,67635,68278,135913
12504,62717,62058,124775
12601,20843,22163,43006
12602,58370,61470,119840
12701,39912,40429,80341
12702,86534,89103,175637
12703,51682,52507,104189
12801,50720,53648,104368
12802,52130,53770,105900
19797,0,0,0
19999,0,0,0
20101,45973,49610,95583
20102,13291,13474,26765
20103,12063,11826,23889
20201,41430,44649,86079
20202,21470,21959,43429
20203,5685,5502,11187
20301,8366,8250,16616
20302,84413,89039,173452
20303,29424,31160,60584
20401,25018,24894,49912
20402,21495,22737,44232
20403,32271,32875,65146
20501,21061,21924,42985
20502,20849,21447,42296
20503,28024,28995,57019
20504,35273,36944,72217
20505,20730,20605,41335
20601,38453,40443,78896
20602,23312,25247,48559
20603,29395,31535,60930
20604,46771,46846,93617
20605,45324,46058,91382
20606,25960,27821,53781
20607,36499,38334,74833
20701,76499,82685,159184
20702,41488,44419,85907
20703,45540,49374,94914
20801,43842,47972,91814
20802,67191,70875,138066
20803,52819,56152,108971
20804,18823,20544,39367
20901,57426,60880,118306
20902,43143,44773,87916
20903,31736,32183,63919
20904,82838,84068,166906
21001,26767,28059,54826
21002,13218,13420,26638
21003,33334,34276,67610
21004,18090,18762,36852
21005,65913,66646,132559
21101,73432,75908,149340
21102,12613,12891,25504
21103,50182,53230,103412
21104,27623,29510,57133
21105,71077,72631,143708
21201,36788,37549,74337
21202,61434,62586,124020
21203,64022,64339,128361
21204,85336,83731,169067
21205,80185,82044,162229
21301,87243,87179,174422
21302,39285,40128,79413
21303,36394,35241,71635
21304,61703,62859,124562
21305,82911,83110,166021
21401,61851,64607,126458
21402,70042,74566,144608
21501,29486,29763,59249
21502,24975,26004,50979
21503,18678,18524,37202
21601,18098,18451,36549
21602,13984,14139,28123
21603,29767,30456,60223
21701,17837,18156,35993
21702,41747,42921,84668
29797,0,0,0
29999,0,0,0
30101,34493,35450,69943
30102,37217,39242,76459
30103,31812,33215,65027
30201,18284,19480,37764
30202,31712,34182,65894
30203,17353,17215,34568
30204,25568,27256,52824
30301,22725,24285,47010
30302,32318,32868,65186
30303,32031,33631,65662
30304,18167,18350,36517
30305,26517,27124,53641
30306,22808,23259,46067
30401,15653,16410,32063
30402,21312,22310,43622
30403,23133,24163,47296
30404,23309,24063,47372
30501,30073,27510,57583
30502,18836,18739,37575
30503,37077,38196,75273
