region_id,Tot_P_M,Tot_P_F,Tot_P_P
101,103616,104206,207822
102,150702,161482,312184
103,98325,98417,196742
104,63794,66810,130604
105,56508,57083,113591
106,120897,122349,243246
107,136180,139803,275983
108,97970,103140,201110
109,54552,55765,110317
110,86906,89288,176194
111,167926,174679,342605
112,110592,117027,227619
113,74870,75250,150120
114,66877,70130,137007
115,104018,106395,210413
116,150742,152786,303528
117,136858,127686,264544
118,121601,127945,249546
119,258320,265288,523608
120,127950,135610,263560
121,180121,194544,374665
122,116427,121213,237640
123,115649,120155,235804
124,141340,146848,288188
125,198298,196410,394708
126,79213,83632,162845
127,178129,182037,360166
128,102848,107419,210267
197,0,0,0
199,0,0,0
201,71327,74908,146235
202,68587,72109,140696
203,122200,128451,250651
204,78782,80512,159294
205,125947,129911,255858
206,245710,256280,501990
207,163528,176477,340005
208,182675,195540,378215
209,215142,221904,437046
210,157321,161162,318483
211,234932,244171,479103
212,327767,330249,658016
213,307531,308527,616058
214,131896,139168,271064
215,73135,74293,147428
216,61841,63053,124894
217,59586,61073,120659
297,0,0,0
299,0,0,0
301,103529,107904,211433
302,92918,98129,191047
303,154572,159513,314085
304,83413,86940,170353
305,112201,111775,223976
306,111878,112558,224436
307,61683,60590,122273
308,108165,103179,211344
309,248043,259599,507642
310,140752,141038,281790
311,144049,146381,290430
312,87329,79482,166811
313,105477,109977,215454
314,82642,84788,167430
315,43833,39090,82923
316,148643,158266,306909
317,67839,72381,140220
318,109043,108854,217897
319,134783,138484,273267
397,0,0,0
399,0,0,0
401,134455,142609,277064
402,194038,197605,391643
403,165215,174659,339874
404,106304,110351,216655
405,53303,53216,106519
406,43654,40965,84619
407,88465,88657,177122
497,0,0,0
499,0,0,0
501,78957,79147,158104
502,40870,42424,83294
503,77732,78619,156351
504,110307,109589,219896
505,238246,244709,482955
506,217063,216563,433626
507,174088,178659,352747
508,118341,96707,215048
509,65907,63531,129438
597,0,0,0
599,0,0,0
601,102882,108774,211656
602,67270,70288,137558
603,18313,17484,35797
604,53511,55641,109152
697,0,0,0
699,0,0,0
701,62897,57689,120586
702,45508,43869,89377
797,0,0,0
799,0,0,0
801,176415,180171,356586
897,0,0,0
899,0,0,0
901,1960,1041,3001
997,0,0,0
999,0,0,0
