region_id,Tot_P_M,Tot_P_F,Tot_P_P
LGA10050,23072,24738,47810
LGA10110,11515,12590,24105
LGA10150,20032,21182,41214
LGA10200,38225,35513,73738
LGA10250,18842,20432,39274
LGA10300,1175,1108,2283
LGA10350,89928,92424,182352
LGA10470,19327,19192,38519
LGA10550,15684,16266,31950
LGA10600,6074,6444,12518
LGA10650,4002,4064,8066
LGA10750,149547,151552,301099
LGA10800,2919,2946,5865
LGA10850,3488,3497,6985
LGA10900,36711,39231,75942
LGA10950,1478,1422,2900
LGA11000,1218,1191,2409
LGA11050,1205,1194,2399
LGA11100,19494,19862,39356
LGA11150,1458,1410,2868
LGA11200,884,882,1766
LGA11250,9017,9500,18517
LGA11300,15910,16513,32423
LGA11350,14285,14924,29209
LGA11400,6405,6416,12821
LGA11450,27880,28840,56720
LGA11500,71339,74628,145967
LGA11520,36804,38959,75763
LGA11550,68710,68744,137454
LGA11600,1365,1222,2587
LGA11700,1046,945,1991
LGA11720,25257,25583,50840
LGA11730,24515,25150,49665
LGA11750,2461,2249,4710
LGA11800,33201,35212,68413
LGA11860,816,724,1540
LGA12000,2006,2093,4099
LGA12050,4901,4871,9772
LGA12150,2030,2000,4030
LGA12200,3553,3781,7334
LGA12300,5486,5514,11000
LGA12350,6055,6092,12147
LGA12500,3453,3667,7120
LGA12600,18728,20077,38805
LGA12700,4188,4130,8318
LGA12750,17578,18163,35741
LGA12850,92521,95245,187766
LGA12900,4548,4622,9170
LGA12950,2106,2262,4368
LGA13010,4285,4371,8656
LGA13050,2430,2447,4877
LGA13100,78326,84114,162440
LGA13310,13881,13600,27481
LGA13320,16860,17570,34430
LGA13340,4959,4856,9815
LGA13380,22658,23883,46541
LGA13450,12236,12128,24364
LGA13500,1871,1791,3662
LGA13550,6033,6033,12066
LGA13650,2204,2193,4397
LGA13660,2512,2453,4965
LGA13700,1777,1807,3584
LGA13800,31056,31297,62353
LGA13850,1478,1478,2956
LGA13950,49104,50059,99163
LGA14000,76457,80390,156847
LGA14100,6538,6677,13215
LGA14150,38227,40628,78855
LGA14200,7898,8177,16075
LGA14250,801,695,1496
LGA14300,3339,2539,5878
LGA14350,14111,14023,28134
LGA14400,9791,10195,19986
LGA14450,27247,28559,55806
LGA14500,52259,57038,109297
LGA14550,4642,4586,9228
LGA14600,3247,3229,6476
LGA14650,92311,96695,189006
LGA14700,15258,16252,31510
LGA14750,5437,5600,11037
LGA14800,24729,27469,52198
LGA14850,20904,21862,42766
LGA14870,10290,9870,20160
LGA14900,89323,90820,180143
LGA14920,3771,3709,7480
LGA14950,1526,1472,2998
LGA15050,33005,34473,67478
LGA15150,19408,20339,39747
LGA15200,37836,38664,76500
LGA15270,11284,11034,22318
LGA15300,6828,6601,13429
LGA15350,12820,14633,27453
LGA15500,3493,3464,6957
LGA15550,1194,1067,2261
LGA15650,8163,7628,15791
LGA15700,9093,9551,18644
LGA15750,6479,6446,12925
LGA15800,2919,2983,5902
LGA15850,3293,3292,6585
LGA15900,73152,75383,148535
LGA15950,29667,32622,62289
LGA16100,2658,2382,5040
LGA16150,18580,19477,38057
LGA16180,7194,7158,14352
LGA16200,7193,7399,14592
LGA16250,83560,83298,166858
LGA16350,88089,90378,178467
LGA16370,27912,29243,57155
LGA16380,34935,37761,72696
LGA16400,31907,32900,64807
LGA16470,19036,18955,37991
LGA16550,63367,65622,128989
LGA16610,10905,11132,22037
LGA16650,48108,49232,97340
LGA16700,50060,52978,103038
LGA16900,31158,32447,63605
LGA16950,45712,47100,92812
LGA17000,11648,11046,22694
LGA17050,4013,3495,7508
LGA17100,17659,17529,35188
LGA17150,103167,107696,210863
LGA17200,89566,79939,169505
LGA17310,27523,28769,56292
LGA17350,2873,2903,5776
LGA17400,3390,3421,6811
LGA17420,83986,85886,169872
LGA17450,1784,1574,3358
LGA17500,5526,5408,10934
LGA17550,41012,44093,85105
LGA17620,6865,6889,13754
LGA17640,3604,3589,7193
LGA17650,2980,3054,6034
LGA17700,606,553,1159
LGA17750,28979,30479,59458
LGA17800,2026,1936,3962
LGA17850,1505,1516,3021
LGA17900,3488,2966,6454
LGA17950,1387,1371,2758
LGA18000,69112,71629,140741
LGA18020,4804,4784,9588
LGA18050,31262,32225,63487
LGA18100,1860,1805,3665
LGA18150,4427,4066,8493
LGA18200,3433,3176,6609
LGA18250,32464,34892,67356
LGA18350,21271,23124,44395
LGA18400,21609,21650,43259
LGA18450,95249,97169,192418
LGA18500,24563,27595,52158
LGA18550,72379,77367,149746
LGA18710,7450,7570,15020
LGA18750,5969,6267,12236
LGA19399,619,550,1169
LGA19499,7592,5326,12918
LGA20110,5877,6004,11881
LGA20260,5700,5483,11183
LGA20570,44879,48622,93501
LGA20660,57427,60879,118306
LGA20740,14499,15115,29614
LGA20830,21009,21855,42864
LGA20910,43842,47972,91814
LGA21010,6638,7009,13647
LGA21110,76499,82685,159184
LGA21180,91343,91392,182735
LGA21270,3228,3156,6384
LGA21370,17999,18366,36365
LGA21450,36703,37473,74176
LGA21610,125451,126931,252382
LGA21670,6203,6293,12496
LGA21750,10140,10205,20345
LGA21830,8230,8146,16376
LGA21890,66456,70018,136474
LGA22110,20798,21398,42196
LGA22170,61851,64607,126458
LGA22250,5143,5223,10366
LGA22310,63761,67252,131013
LGA22410,9790,9785,19575
LGA22490,9549,9221,18770
LGA22620,48776,51841,100617
LGA22670,68521,67084,135605
LGA22750,102466,108409,210875
LGA22830,29882,30567,60449
LGA22910,6951,7416,14367
LGA22980,2882,2916,5798
LGA23110,41619,42244,83863
LGA23190,9410,9869,19279
LGA23270,83025,84537,167562
LGA23350,7525,7653,15178
LGA23430,69629,72796,142425
LGA23670,73406,75894,149300
LGA23810,35365,37031,72396
LGA23940,3810,3649,7459
LGA24130,20613,21247,41860
LGA24210,54039,57261,111300
LGA24250,3933,3960,7893
LGA24330,36394,35241,71635
LGA24410,50390,53449,103839
LGA24600,46775,46850,93625
LGA24650,54266,54993,109259
LGA24780,24976,26003,50979
LGA24850,17349,17288,34637
LGA24900,13985,14139,28124
LGA24970,83616,85664,169280
LGA25060,52061,55382,107443
LGA25150,14025,14099,28124
LGA25250,72129,75112,147241
LGA25340,70042,74566,144608
LGA25430,8715,8876,17591
LGA25490,7904,8051,15955
LGA25620,6615,6443,13058
LGA25710,29895,30447,60342
LGA25810,5909,5936,11845
LGA25900,45315,46057,91372
LGA25990,3427,3242,6669
LGA26080,1423,1577,3000
LGA26170,13415,13793,27208
LGA26260,8019,8340,16359
LGA26350,44785,48360,93145
LGA26430,4746,4740,9486
LGA26490,12832,13038,25870
LGA26610,10303,10146,20449
LGA26670,2976,2915,5891
LGA26700,12985,13830,26815
LGA26730,15490,16539,32029
LGA26810,20783,20657,41440
LGA26890,2149,2102,4251
LGA26980,72821,78513,151334
LGA27070,76793,78087,154880
LGA27170,17503,18016,35519
LGA27260,80581,80994,161575
LGA27350,36154,37936,74090
LGA27450,71511,73030,144541
LGA27630,3532,3556,7088
LGA29399,489,315,804
LGA29499,4672,3636,8308
LGA30250,640,654,1294
LGA30300,2437,2283,4720
LGA30370,7479,6977,14456
LGA30410,1620,1595,3215
LGA30450,190,160,350
LGA30760,1090,1110,2200
LGA30900,263,217,480
LGA31000,513710,528129,1041839
LGA31750,240,163,403
LGA31820,44228,45582,89810
LGA31900,8724,8640,17364
LGA31950,316,198,514
LGA32070,77553,78616,156169
LGA32250,1075,978,2053
LGA32260,14281,13387,27668
LGA32270,15393,13322,28715
LGA32310,6096,6073,12169
LGA32330,595,630,1225
LGA32450,1808,1421,3229
LGA32500,2430,1722,4152
LGA32600,168,144,312
LGA32750,155,128,283
LGA32770,667,622,1289
LGA33100,509,384,893
LGA33200,954,837,1791
LGA33220,46672,48640,95312
LGA33360,30096,27795,57891
LGA33430,241600,252901,494501
LGA33610,5319,5309,10628
LGA33620,22722,23027,45749
LGA33800,5894,5674,11568
LGA33830,521,463,984
LGA33960,83096,83808,166904
LGA33980,12549,10039,22588
LGA34420,502,529,1031
LGA34570,231,252,483
LGA34580,17361,17593,34954
LGA34590,137978,140072,278050
LGA34710,2044,2145,4189
LGA34770,58237,54561,112798
LGA34800,628,422,1050
LGA34830,137,129,266
LGA34860,6730,6346,13076
LGA35010,185672,192373,378045
LGA35250,560,582,1142
LGA35300,11325,9912,21237
LGA35600,2305,2314,4619
LGA35670,442,413,855
LGA35760,5135,5008,10143
LGA35780,1115,1183,2298
LGA35790,1225,1111,2336
LGA35800,948,909,1857
LGA36070,342,320,662
LGA36150,528,448,976
