region_id,Tot_P_M,Tot_P_F,Tot_P_P
LGA36250,67886,70780,138666
LGA36300,435,392,827
LGA36360,54750,54586,109336
LGA36510,17991,18465,36456
LGA36580,10926,10713,21639
LGA36630,15432,15596,31028
LGA36660,16593,17290,33883
LGA36710,148643,158266,306909
LGA36810,22056,21671,43727
LGA36910,73552,77637,151189
LGA36950,1621,1635,3256
LGA36960,2179,2069,4248
LGA37010,87105,87357,174462
LGA37300,1775,1559,3334
LGA37310,16282,15308,31590
LGA37340,16543,14883,31426
LGA37400,707,629,1336
LGA37550,447,498,945
LGA37570,133,137,270
LGA37600,1202,1207,2409
LGA39399,276,195,471
LGA39499,7151,5394,12545
LGA40070,10148,9491,19639
LGA40120,19360,19268,38628
LGA40220,11545,12154,23699
LGA40250,1197,1242,2439
LGA40310,10966,11203,22169
LGA40430,1262,1194,2456
LGA40520,5266,5317,10583
LGA40700,19921,22271,42192
LGA40910,23216,24946,48162
LGA41010,1751,1729,3480
LGA41060,51385,53596,104981
LGA41140,4340,4409,8749
LGA41190,902,831,1733
LGA41330,953,742,1695
LGA41560,6357,6592,12949
LGA41750,553,493,1046
LGA41830,862,840,1702
LGA41960,656,617,1273
LGA42030,9871,10665,20536
LGA42110,2091,2071,4162
LGA42250,4144,3711,7855
LGA42600,16451,18154,34605
LGA42750,2259,2158,4417
LGA43080,537,496,1033
LGA43220,557,531,1088
LGA43360,1165,1114,2279
LGA43650,7009,6774,13783
LGA43710,2607,2309,4916
LGA43790,5660,5627,11287
LGA43920,4252,4091,8343
LGA44000,38,35,73
LGA44060,40024,42967,82991
LGA44210,4324,3812,8136
LGA44340,30431,32467,62898
LGA44550,14463,15304,29767
LGA44620,12205,13042,25247
LGA44830,1451,1422,2873
LGA45040,9949,9793,19742
LGA45090,4164,3952,8116
LGA45120,2304,2200,4504
LGA45290,16720,18167,34887
LGA45340,78409,81167,159576
LGA45400,453,422,875
LGA45540,867,864,1731
LGA45680,39281,39834,79115
LGA45890,56146,56669,112815
LGA46090,7110,6875,13985
LGA46300,6872,7214,14086
LGA46450,8521,8812,17333
LGA46510,9898,10057,19955
LGA46670,4602,4643,9245
LGA46860,726,672,1398
LGA46970,2766,1936,4702
LGA47140,64252,64857,129109
LGA47290,1076,1024,2100
LGA47490,1104,998,2102
LGA47630,3371,3185,6556
LGA47700,46839,48628,95467
LGA47800,2844,2681,5525
LGA47910,1292,1294,2586
LGA47980,17333,19507,36840
LGA48050,6568,7273,13841
LGA48130,3402,3260,6662
LGA48260,3403,3597,7000
LGA48340,5862,5762,11624
LGA48410,26854,28108,54962
LGA48540,11174,10914,22088
LGA48640,639,614,1253
LGA48750,2171,2226,4397
LGA48830,5629,5395,11024
LGA49399,2658,1779,4437
LGA49499,1779,1288,3067
LGA50080,16577,17073,33650
LGA50210,31043,31253,62296
LGA50250,6522,3479,10001
LGA50280,5898,5863,11761
LGA50350,7174,7230,14404
LGA50420,30715,30547,61262
LGA50490,17888,17321,35209
LGA50560,809,758,1567
LGA50630,1388,838,2226
LGA50770,788,800,1588
LGA50840,2118,2201,4319
LGA50910,473,461,934
LGA50980,7665,7332,14997
LGA51080,573,566,1139
LGA51120,489,485,974
LGA51190,15595,15753,31348
LGA51260,14767,15563,30330
LGA51310,12179,12786,24965
LGA51330,42854,42660,85514
LGA51400,7262,7376,14638
LGA51470,285,261,546
LGA51540,2964,2823,5787
LGA51610,611,563,1174
LGA51680,2251,2176,4427
LGA51750,4486,4794,9280
LGA51820,44681,45002,89683
LGA51890,4906,4221,9127
LGA51960,2180,1819,3999
LGA52030,571,496,1067
LGA52100,538,525,1063
LGA52170,3724,3881,7605
LGA52240,578,501,1079
LGA52310,434,436,870
LGA52380,154,118,272
LGA52450,696,614,1310
LGA52520,678,588,1266
LGA52590,1722,1463,3185
LGA52660,6188,6217,12405
LGA52730,2554,2640,5194
LGA52800,4969,3466,8435
LGA52870,2679,2641,5320
LGA52940,348,330,678
LGA53010,324,281,605
LGA53080,650,491,1141
LGA53150,3353,3577,6930
LGA53220,8040,3910,11950
LGA53290,6737,6740,13477
LGA53360,1285,1108,2393
LGA53430,13004,13578,26582
LGA53520,18085,18361,36446
LGA53570,2431,2254,4685
LGA53640,669,602,1271
LGA53710,491,494,985
LGA53780,53754,52831,106585
LGA53920,1822,1738,3560
LGA53990,11658,11579,23237
LGA54060,1822,1745,3567
LGA54130,569,486,1055
LGA54170,75365,77041,152406
LGA54200,26533,27034,53567
LGA54280,16290,14817,31107
LGA54340,2082,2101,4183
LGA54410,597,584,1181
LGA54480,275,237,512
LGA54550,983,999,1982
LGA54620,602,443,1045
LGA54690,236,201,437
LGA54760,433,393,826
LGA54830,14872,14355,29227
LGA54900,722,638,1360
LGA54970,846,381,1227
LGA55040,1676,837,2513
LGA55110,34092,35811,69903
LGA55180,4641,4542,9183
LGA55250,822,555,1377
LGA55320,46060,49640,95700
LGA55390,208,176,384
LGA55460,1737,1545,3282
LGA55530,261,219,480
LGA55600,1246,1230,2476
LGA55670,472,422,894
LGA55740,3943,4655,8598
LGA55810,366,277,643
LGA55880,265,221,486
LGA55950,256,234,490
LGA56020,430,285,715
LGA56090,18766,17763,36529
LGA56160,60,54,114
LGA56230,7173,6976,14149
LGA56300,675,587,1262
LGA56370,417,395,812
LGA56450,478,397,875
LGA56520,2031,2188,4219
LGA56580,9995,10539,20534
LGA56620,701,736,1437
LGA56730,5200,5357,10557
LGA56790,1636,1556,3192
LGA56860,129,101,230
LGA56930,687,841,1528
LGA57000,608,296,904
LGA57080,9269,7445,16714
LGA57140,591,572,1163
LGA57210,2497,2385,4882
LGA57280,8574,6470,15044
LGA57350,505,538,1043
LGA57420,1174,952,2126
LGA57490,51853,52252,104105
LGA57560,13751,9149,22900
LGA57630,54,51,105
LGA57700,9018,8728,17746
LGA57770,458,399,857
LGA57840,19905,20834,40739
LGA57910,96173,99529,195702
LGA57980,8496,9078,17574
LGA58050,54018,54443,108461
LGA58190,232,172,404
LGA58260,311,305,616
LGA58330,2180,2207,4387
LGA58400,190,158,348
LGA58470,138,113,251
LGA58510,16307,16126,32433
LGA58540,500,395,895
LGA58570,16064,15485,31549
LGA58610,940,907,1847
LGA58680,225,213,438
LGA58760,75220,76857,152077
LGA58820,1774,1808,3582
LGA58890,450,418,868
LGA59030,167,110,277
LGA59100,389,361,750
LGA59170,477,437,914
LGA59250,816,343,1159
LGA59310,738,696,1434
LGA59320,220,199,419
LGA59330,268,255,523
LGA59340,4050,3749,7799
LGA59350,279,127,406
LGA59360,1007,629,1636
LGA59370,1696,1700,3396
LGA59399,382,34,416
LGA59499,4286,3011,7297
LGA60210,3157,3037,6194
LGA60410,7482,7978,15460
LGA60610,9286,10043,19329
LGA60810,10407,10948,21355
LGA61010,1194,1068,2262
LGA61210,4039,3938,7977
LGA61410,25310,26542,51852
LGA61510,4932,4772,9704
LGA61610,11752,12863,24615
LGA61810,3401,3426,6827
LGA62010,410,366,776
LGA62210,3294,3342,6636
LGA62410,2119,2071,4190
LGA62610,21465,23191,44656
LGA62810,23778,24925,48703
LGA63010,7632,7508,15140
LGA63210,3128,2958,6086
LGA63410,816,750,1566
LGA63610,16441,17452,33893
LGA63810,4879,4954,9833
LGA64010,31090,33103,64193
LGA64210,9134,9754,18888
LGA64610,6119,6109,12228
LGA64810,6530,6664,13194
LGA65010,3098,2951,6049
LGA65210,1215,1140,2355
LGA65410,6758,6950,13708
LGA65610,2448,2230,4678
LGA65810,10665,11152,21817
LGA69399,81,34,115
LGA69499,613,459,1072
LGA70200,12556,12630,25186
LGA70420,3406,3417,6823
LGA70540,90,91,181
LGA70620,1888,1832,3720
LGA70700,592,514,1106
LGA71000,37826,35104,72930
LGA71300,4521,4577,9098
LGA72200,4663,4524,9187
LGA72300,10320,8674,18994
LGA72330,3063,2768,5831
LGA72800,13922,13781,27703
LGA73600,3064,3057,6121
LGA74050,1320,1260,2580
LGA74500,3003,2921,5924
LGA74560,194,175,369
LGA74660,3263,2969,6232
LGA79399,4806,3283,8089
LGA79499,1019,850,1869
LGA89399,176416,180170,356586
LGA89499,328,304,632
LGA99399,1960,1044,3004
LGA99499,7,18,25
